id,title,artist_channel,language,era,popularity,views,likes,duration_seconds,duration,published_at,youtube_video_id,youtube_url
321,Ride It (Kya Yehi Pyaar Hai) (Hindi Version),Jay Sean - Topic,Hindi,2010s,Very Popular,72274827,685128,194,3:14,2019-10-21T21:16:59Z,foEUtbLVBgw,https://www.youtube.com/watch?v=foEUtbLVBgw
322,"Doobey (From ""Gehraiyaan"")",OAFF - Topic,English/International,2020s,Very Popular,39917658,156639,220,3:40,2022-01-23T10:02:48Z,724BgFjKM08,https://www.youtube.com/watch?v=724BgFjKM08
323,"Kashmir Main Tu Kanyakumari(Lyrical)|Chennai Express |Shahrukh K, Deepika P,Sunidhi C,Arijit S,Neeti",T-Series,Hindi,2020s,Top Hit,194943347,867973,327,5:27,2021-09-15T11:30:05Z,WxtJqyIyThU,https://www.youtube.com/watch?v=WxtJqyIyThU
324,"Heropanti : Raat Bhar Full Song with Lyrics | Tiger Shroff | Arijit Singh, Shreya Ghoshal",T-Series,Hindi,2010s,Top Hit,133613528,844965,335,5:35,2014-04-30T08:14:36Z,AYcxiROIktI,https://www.youtube.com/watch?v=AYcxiROIktI
325,Arijit Singh || Sooraj Dooba Hain song lyrics [Bad Vibes],BAD VIBES,English/International,2020s,Very Popular,11607233,73923,265,4:25,2022-12-09T01:44:46Z,d1ldnvNoAE4,https://www.youtube.com/watch?v=d1ldnvNoAE4
326,Tumhi Ho Bandhu | Cocktail | Saif Ali Khan | Deepika Padukone | Diana Penty | Pritam,Songs Station,English/International,2020s,Popular,7926436,39771,291,4:51,2023-10-19T13:01:22Z,DzWP07XqoeQ,https://www.youtube.com/watch?v=DzWP07XqoeQ
327,Enna Sona | @ARRahman | OK Jaanu | Arijit Singh | Shraddha Kapoor | Aditya Roy | Gulzar | 4K,Sony Music India,Hindi,2020s,Very Popular,39684517,231844,226,3:46,2022-11-21T06:15:56Z,IZF-rOe9u-g,https://www.youtube.com/watch?v=IZF-rOe9u-g
328,Tum Ho,Mohit Chauhan - Topic,English/International,2010s,Very Popular,57094094,311844,317,5:17,2018-08-16T22:43:05Z,AqVIQ9ymvM8,https://www.youtube.com/watch?v=AqVIQ9ymvM8
329,"ROCKSTAR: Phir Se Ud Chala (Full Song) | Ranbir Kapoor, Nargis Fakhri | A. R. Rahman, Mohit Chauhan",T-Series,Hindi,2010s,Top Hit,139920586,915725,213,3:33,2011-12-19T09:24:34Z,2mWaqsC3U7k,https://www.youtube.com/watch?v=2mWaqsC3U7k
330,Qayde Se,Arijit Singh - Topic,English/International,2020s,Very Popular,24736089,170498,216,3:36,2025-07-01T11:30:28Z,Z25GNhpajyY,https://www.youtube.com/watch?v=Z25GNhpajyY
331,"""Subhanallah""  Full Video Song | Yeh Jawaani Hai Deewani | Pritam | Ranbir Kapoor, Deepika Padukone",T-Series,Hindi,2010s,Top Hit,287391987,1093749,206,3:26,2013-07-08T07:55:57Z,QYO6AlxiRE4,https://www.youtube.com/watch?v=QYO6AlxiRE4
332,Ek Ladki Ko Dekha Toh Aisa Laga | Title Song | Anil | Sonam | Rajkummar Rao | Juhi | Darshan |Rochak,Saregama Music,Hindi,2010s,Top Hit,92530735,817880,123,2:03,2019-01-08T07:27:42Z,IAIGnS9BPKs,https://www.youtube.com/watch?v=IAIGnS9BPKs
333,Gulabi,Sachin-Jigar - Topic,English/International,2020s,Very Popular,20374490,104630,231,3:51,2020-04-10T13:29:25Z,kTpyO8iwlSY,https://www.youtube.com/watch?v=kTpyO8iwlSY
334,Shayad - Love Aaj Kal | Kartik | Sara | Arushi | Pritam | Arijit Singh,Sony Music India,Hindi,2020s,Top Hit,365477830,3370729,190,3:10,2020-01-22T11:30:57Z,MJyKN-8UncM,https://www.youtube.com/watch?v=MJyKN-8UncM
335,"Moh Moh Ke Dhaage (Female) Lyrical Song | Dum Laga Ke Haisha | Ayushmann, Bhumi, Monali, Anu, Varun",YRF,Hindi,2010s,Top Hit,288392464,1167754,323,5:23,2015-02-18T08:53:34Z,JbDktrsnH40,https://www.youtube.com/watch?v=JbDktrsnH40
336,"Kesariya (From ""Brahmastra"")",Arijit Singh - Topic,English/International,2020s,Top Hit,150949364,819095,269,4:29,2022-07-17T06:34:41Z,NJAv_7lHUIU,https://www.youtube.com/watch?v=NJAv_7lHUIU
337,Chaand Baaliyan - Aditya A. (Official Video),Aditya A,English/International,2020s,Top Hit,94443017,793135,104,1:44,2020-04-04T03:46:42Z,Xi8Fabcb_MA,https://www.youtube.com/watch?v=Xi8Fabcb_MA
